user_message,anger_level,frustration_level,anxiety_level,calm_level,sentiment_negative,sentiment_neutral,sentiment_positive,intent,urgency,agent_emotion,tone,empathy_level,verbosity,formality,assertiveness,apology_required,reassurance_level,solution_speed,boundary_setting,explanation_depth
I'd like to know more about your premium service. Can you help?,0.005,0.022,0.013,0.818,0.194,0.503,0.372,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I'd like to know more about your basic service. Can you help?,0.05,0.082,0.302,0.614,0.123,0.416,0.148,inquiry,medium,neutral,neutral,low,medium,low,low,False,medium,normal,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.958,0.885,0.353,0.261,0.902,0.056,0.179,complaint,medium,sad,calm,high,medium,high,high,True,medium,normal,True,low
I read the FAQ but I'm still confused about returns.,0.162,0.423,0.558,0.427,0.133,0.391,0.228,clarification,low,calm,neutral,medium,high,low,low,False,high,slow,False,high
The instructions are confusing. Can you explain step 3 again?,0.245,0.444,0.203,0.504,0.225,0.389,0.136,clarification,high,neutral,neutral,medium,low,low,low,False,low,fast,False,high
I appreciate the prompt response. You guys are great!,0.034,0.094,0.065,0.856,0.07,0.073,0.992,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
What's the expected delivery time for rural areas?,0.192,0.05,0.199,0.65,0.185,0.315,0.283,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
Kudos to your team for going above and beyond!,0.05,0.005,0.056,0.972,0.024,0.029,0.847,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
This is unacceptable! I've been waiting for 5 days and still no response.,0.991,0.545,0.369,0.228,0.619,0.218,0.074,complaint,low,sad,calm,high,high,high,high,True,medium,slow,True,low
"Sorry, I'm not sure what you mean by 'webhook'. Can you explain?",0.19,0.353,0.414,0.336,0.351,0.428,0.156,clarification,low,reassuring,neutral,medium,high,low,low,False,medium,slow,False,high
I have a question about my recent bill. Can someone explain it?,0.008,0.118,0.271,0.508,0.254,0.391,0.294,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I've had enough of the runaround. Escalate this immediately.,0.587,0.876,0.355,0.187,0.569,0.102,0.023,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,False,low
What are the available options for shipping?,0.185,0.175,0.103,0.83,0.345,0.522,0.259,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
This was the best customer service experience I've ever had!,0.024,0.009,0.179,0.97,0.063,0.068,0.805,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
Your support team is fantastic. Keep up the great work!,0.073,0.09,0.177,0.934,0.064,0.017,0.748,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
Your representatives have been unhelpful. Get me a manager now.,0.949,0.843,0.204,0.02,0.832,0.002,0.032,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,True,low
I just wanted to say how impressed I am with your service.,0.055,0.069,0.13,0.767,0.071,0.047,0.798,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
Why hasn't anyone fixed my problem yet? This is the 4th time I'm contacting you!,0.848,0.79,0.44,0.197,0.784,0.028,0.074,complaint,low,sad,calm,high,high,high,high,True,medium,slow,True,low
I'm so grateful for your help. You made my day!,0.027,0.024,0.195,0.818,0.089,0.126,0.938,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I've had enough of the runaround. Escalate this immediately.,0.751,0.831,0.397,0.039,0.861,0.084,0.005,escalation_request,high,sad,calm,high,low,high,high,True,medium,fast,False,low
I just wanted to say how impressed I am with your service.,0.065,0.018,0.188,0.986,0.091,0.074,0.705,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
Kudos to your team for going above and beyond!,0.093,0.043,0.193,0.989,0.085,0.059,0.816,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.911,0.59,0.168,0.167,0.968,0.209,0.114,complaint,medium,empathetic,calm,high,medium,high,high,True,low,normal,True,low
I want this escalated to your highest level. This is unacceptable.,0.549,0.846,0.596,0.028,0.759,0.263,0.148,escalation_request,low,empathetic,calm,high,high,high,high,True,high,slow,False,low
"I was worried, but you fixed everything perfectly. Thank you!",0.07,0.07,0.072,0.788,0.081,0.162,0.96,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.948,0.707,0.301,0.239,0.825,0.211,0.159,complaint,high,empathetic,calm,high,low,high,high,True,medium,fast,True,low
What are the available options for billing?,0.178,0.068,0.15,0.547,0.273,0.314,0.24,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
Excellent service! I'll definitely recommend you to others.,0.054,0.029,0.118,0.709,0.004,0.165,0.808,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
My account has been charged incorrectly 4 times now. Fix this!,0.476,0.713,0.408,0.065,0.811,0.026,0.01,complaint,low,empathetic,calm,high,high,high,medium,True,medium,slow,False,low
I'm interested in learning about your pricing plans.,0.106,0.108,0.255,0.863,0.393,0.507,0.197,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
I just wanted to say how impressed I am with your service.,0.08,0.027,0.088,0.724,0.003,0.193,0.951,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I want to file a formal complaint and speak to a supervisor.,0.848,0.764,0.269,0.031,0.625,0.165,0.143,escalation_request,low,empathetic,calm,high,high,high,high,True,low,slow,True,low
I have a question about my recent bill. Can someone explain it?,0.132,0.056,0.382,0.869,0.266,0.545,0.226,inquiry,high,neutral,neutral,low,low,low,low,False,medium,fast,False,low
This was the best customer service experience I've ever had!,0.025,0.036,0.152,0.704,0.012,0.009,0.712,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I'm so grateful for your help. You made my day!,0.086,0.07,0.095,0.729,0.049,0.095,0.752,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I'm interested in learning about your pricing plans.,0.087,0.08,0.246,0.818,0.114,0.45,0.288,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I read the FAQ but I'm still confused about upgrades.,0.151,0.443,0.463,0.365,0.121,0.557,0.108,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
I just wanted to say how impressed I am with your service.,0.059,0.094,0.115,0.816,0.064,0.092,0.864,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I'd like to know more about your enterprise service. Can you help?,0.188,0.077,0.384,0.953,0.159,0.328,0.13,inquiry,low,neutral,neutral,low,high,low,low,False,medium,slow,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.411,0.457,0.373,0.021,0.659,0.253,0.005,complaint,high,calm,neutral,medium,low,high,medium,True,medium,fast,False,low
I'm interested in learning about your pricing plans.,0.163,0.056,0.047,0.848,0.289,0.651,0.321,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
This is unacceptable! I've been waiting for 3 days and still no response.,0.882,0.569,0.171,0.225,0.903,0.297,0.083,complaint,low,empathetic,calm,high,high,high,high,True,low,slow,True,low
I'm extremely disappointed with your service. My order #11111 is missing.,0.623,0.866,0.236,0.279,0.929,0.129,0.15,complaint,medium,empathetic,calm,high,medium,high,medium,True,low,normal,False,low
I'm not tech-savvy. Could you explain this in simpler terms?,0.226,0.141,0.561,0.502,0.348,0.428,0.369,clarification,high,calm,neutral,low,low,low,low,False,high,fast,False,high
Your support team is fantastic. Keep up the great work!,0.039,0.001,0.181,0.727,0.032,0.19,0.985,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I appreciate the prompt response. You guys are great!,0.057,0.063,0.09,0.788,0.033,0.135,0.926,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
Your representatives have been unhelpful. Get me a manager now.,0.896,0.916,0.236,0.099,0.529,0.165,0.088,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,True,low
The quality of your service has gone downhill. Very frustrated customer here.,0.933,0.611,0.147,0.043,0.881,0.185,0.02,complaint,high,sad,calm,high,low,high,high,True,low,fast,True,low
I've had enough of the runaround. Escalate this immediately.,0.542,0.88,0.229,0.164,0.853,0.024,0.017,escalation_request,medium,empathetic,calm,high,medium,high,high,True,low,normal,False,low
I'm extremely disappointed with your service. My order #12345 is wrong item.,0.992,0.625,0.248,0.244,0.974,0.296,0.151,complaint,high,sad,calm,high,low,high,high,True,low,fast,True,low
Your product broke after just 3 days. I want a full refund immediately.,0.626,0.45,0.411,0.168,0.712,0.272,0.022,complaint,low,neutral,calm,high,high,high,medium,True,medium,slow,False,low
Your team resolved my issue so quickly. Amazing!,0.049,0.001,0.094,0.717,0.012,0.024,0.895,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I want this escalated to your highest level. This is unacceptable.,0.873,0.833,0.585,0.075,0.643,0.261,0.045,escalation_request,low,sad,calm,high,high,high,high,True,high,slow,True,low
I have a question about my recent bill. Can someone explain it?,0.193,0.002,0.388,0.522,0.367,0.511,0.398,inquiry,low,neutral,neutral,low,high,low,low,False,medium,slow,False,low
Thank you so much! Emily was incredibly helpful!,0.007,0.055,0.194,0.857,0.063,0.139,0.836,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
Your product broke after just 3 days. I want a full refund immediately.,0.777,0.751,0.46,0.014,0.64,0.285,0.178,complaint,low,sad,calm,high,high,high,medium,True,medium,slow,False,low
Your representatives have been unhelpful. Get me a manager now.,0.728,0.848,0.311,0.038,0.732,0.106,0.117,escalation_request,medium,sad,calm,high,medium,high,high,True,medium,normal,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.447,0.985,0.494,0.209,0.768,0.093,0.163,complaint,low,empathetic,calm,high,high,high,medium,True,medium,slow,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.811,0.498,0.464,0.247,0.975,0.218,0.123,complaint,medium,sad,calm,high,medium,high,high,True,medium,normal,True,low
What exactly do I need to do to resolve this issue?,0.125,0.473,0.546,0.318,0.108,0.451,0.343,clarification,medium,reassuring,neutral,medium,medium,low,low,False,high,normal,False,high
Could you explain how the auto-renewal feature works?,0.197,0.03,0.238,0.69,0.391,0.637,0.351,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.681,0.649,0.209,0.017,0.932,0.244,0.2,complaint,high,empathetic,calm,high,low,high,medium,True,low,fast,False,low
My account has been charged incorrectly 2 times now. Fix this!,0.998,0.733,0.408,0.283,0.925,0.074,0.09,complaint,high,empathetic,calm,high,low,high,high,True,medium,fast,True,low
"I was worried, but you fixed everything perfectly. Thank you!",0.013,0.095,0.121,0.769,0.067,0.124,0.807,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
Thank you so much! Emily was incredibly helpful!,0.011,0.067,0.104,0.932,0.052,0.17,0.866,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
I'm extremely disappointed with your service. My order #11111 is damaged.,0.737,0.926,0.261,0.04,0.514,0.227,0.124,complaint,low,empathetic,calm,high,high,high,medium,True,low,slow,False,low
This needs management attention. Regular support isn't cutting it.,0.852,0.685,0.255,0.003,0.675,0.177,0.078,escalation_request,low,empathetic,calm,high,high,high,high,True,low,slow,True,low
Thank you so much! Emily was incredibly helpful!,0.044,0.09,0.07,0.854,0.078,0.079,0.887,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
Nobody seems to care about my problem. I've been passed around 4 times.,0.917,0.97,0.159,0.278,0.746,0.077,0.092,complaint,medium,sad,calm,high,medium,high,high,True,low,normal,True,low
Is it possible to change my subscription to the premium plan?,0.196,0.099,0.132,0.817,0.172,0.33,0.139,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I followed your advice but it didn't work. What am I missing?,0.038,0.161,0.256,0.556,0.155,0.438,0.369,clarification,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,high
I read the FAQ but I'm still confused about billing.,0.142,0.367,0.269,0.377,0.112,0.368,0.184,clarification,medium,neutral,neutral,medium,medium,low,low,False,low,normal,False,high
Nobody seems to care about my problem. I've been passed around 2 times.,0.506,0.453,0.148,0.138,0.603,0.109,0.101,complaint,medium,neutral,neutral,medium,medium,high,medium,True,low,normal,False,low
Your product broke after just 10 days. I want a full refund immediately.,0.814,0.424,0.42,0.188,0.541,0.262,0.184,complaint,high,sad,calm,high,low,high,high,True,medium,fast,True,low
I'd like to know more about your basic service. Can you help?,0.012,0.055,0.322,0.874,0.155,0.384,0.211,inquiry,medium,neutral,neutral,low,medium,low,low,False,medium,normal,False,low
I followed your advice but it didn't work. What am I missing?,0.145,0.347,0.348,0.485,0.324,0.315,0.176,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
I want this escalated to your highest level. This is unacceptable.,0.857,0.958,0.405,0.106,0.554,0.134,0.107,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,True,low
I just wanted to say how impressed I am with your service.,0.024,0.027,0.075,0.706,0.032,0.042,0.798,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I'd like to know more about your premium service. Can you help?,0.024,0.178,0.237,0.84,0.337,0.499,0.126,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
This was the best customer service experience I've ever had!,0.054,0.059,0.149,0.829,0.013,0.057,0.809,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
"Sorry, I'm not sure what you mean by 'webhook'. Can you explain?",0.194,0.328,0.342,0.695,0.282,0.395,0.131,clarification,high,reassuring,neutral,medium,low,low,low,False,medium,fast,False,high
Could you explain how the data export feature works?,0.031,0.049,0.064,0.593,0.186,0.369,0.369,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I need to speak to a supervisor immediately.,0.54,0.81,0.364,0.196,0.556,0.119,0.194,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.919,0.89,0.203,0.051,0.834,0.279,0.111,complaint,high,sad,calm,high,low,high,high,True,low,fast,True,low
My account has been charged incorrectly 3 times now. Fix this!,0.743,0.568,0.408,0.056,0.662,0.128,0.102,complaint,low,sad,calm,high,high,high,medium,True,medium,slow,False,low
I have a question about my recent bill. Can someone explain it?,0.048,0.023,0.244,0.644,0.274,0.362,0.244,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
I'm so grateful for your help. You made my day!,0.053,0.005,0.067,0.74,0.006,0.198,0.797,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I just wanted to say how impressed I am with your service.,0.081,0.025,0.136,0.928,0.06,0.094,0.824,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
Why hasn't anyone fixed my problem yet? This is the 3rd time I'm contacting you!,0.609,0.958,0.432,0.29,0.562,0.219,0.188,complaint,high,empathetic,calm,high,low,high,medium,True,medium,fast,False,low
What exactly do I need to do to resolve this issue?,0.054,0.127,0.496,0.53,0.353,0.356,0.339,clarification,high,reassuring,neutral,low,low,low,low,False,medium,fast,False,high
What are the available options for billing?,0.04,0.033,0.066,0.907,0.3,0.509,0.208,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I don't understand the email you sent. Could you clarify what you mean?,0.263,0.257,0.527,0.476,0.213,0.485,0.19,clarification,medium,reassuring,neutral,low,medium,low,low,False,high,normal,False,high
I'm interested in learning about your pricing plans.,0.15,0.101,0.093,0.95,0.215,0.517,0.372,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
This is the worst customer experience I've ever had. Completely unacceptable.,0.775,0.47,0.476,0.188,0.667,0.042,0.159,complaint,medium,sad,calm,high,medium,high,medium,True,medium,normal,False,low
Your team resolved my issue so quickly. Amazing!,0.062,0.053,0.179,0.937,0.015,0.062,0.775,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
What are the available options for upgrades?,0.149,0.007,0.228,0.881,0.363,0.437,0.346,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
My account has been charged incorrectly 5 times now. Fix this!,0.466,0.908,0.151,0.119,0.899,0.045,0.046,complaint,low,empathetic,calm,high,high,high,medium,True,low,slow,False,low
What are the available options for billing?,0.144,0.144,0.256,0.847,0.263,0.401,0.204,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I've had enough of the runaround. Escalate this immediately.,0.591,0.963,0.433,0.08,0.731,0.284,0.031,escalation_request,low,empathetic,calm,high,high,high,high,True,medium,slow,False,low
I have a question about my recent bill. Can someone explain it?,0.117,0.101,0.245,0.509,0.362,0.673,0.27,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
"Sorry, I'm not sure what you mean by 'integration'. Can you explain?",0.209,0.469,0.483,0.361,0.273,0.543,0.227,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
Your product broke after just 7 days. I want a full refund immediately.,0.842,0.961,0.47,0.135,0.557,0.295,0.168,complaint,high,sad,calm,high,low,high,high,True,medium,fast,True,low
The error message says 'Invalid credentials'. What does this mean?,0.037,0.468,0.548,0.508,0.277,0.46,0.116,clarification,low,reassuring,neutral,medium,high,low,low,False,high,slow,False,high
Thank you so much! Sarah was incredibly helpful!,0.034,0.08,0.001,0.8,0.04,0.107,0.976,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
I'm lost. Can you help me understand what went wrong?,0.104,0.239,0.495,0.481,0.167,0.481,0.142,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
The instructions are confusing. Can you explain step 5 again?,0.053,0.299,0.368,0.666,0.209,0.532,0.29,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
I read the FAQ but I'm still confused about upgrades.,0.004,0.365,0.271,0.684,0.145,0.466,0.126,clarification,high,neutral,neutral,medium,low,low,low,False,low,fast,False,high
I just wanted to say how impressed I am with your service.,0.1,0.05,0.119,0.72,0.075,0.042,0.969,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
Your representatives have been unhelpful. Get me a manager now.,0.603,0.676,0.215,0.094,0.782,0.02,0.155,escalation_request,high,empathetic,calm,high,low,high,high,True,low,fast,False,low
Can you walk me through the process one more time?,0.136,0.31,0.376,0.46,0.268,0.362,0.155,clarification,low,reassuring,neutral,medium,high,low,low,False,medium,slow,False,high
This is the worst customer experience I've ever had. Completely unacceptable.,0.917,0.968,0.249,0.081,0.822,0.123,0.005,complaint,high,empathetic,calm,high,low,high,high,True,low,fast,True,low
The instructions are confusing. Can you explain step 4 again?,0.047,0.386,0.464,0.311,0.167,0.392,0.302,clarification,medium,reassuring,neutral,medium,medium,low,low,False,medium,normal,False,high
I just wanted to say how impressed I am with your service.,0.002,0.01,0.16,0.754,0.065,0.048,0.73,praise,medium,friendly,friendly,low,medium,low,low,False,low,normal,False,low
The error message says 'Access denied'. What does this mean?,0.073,0.389,0.542,0.632,0.219,0.567,0.161,clarification,high,reassuring,neutral,medium,low,low,low,False,high,fast,False,high
The error message says 'Access denied'. What does this mean?,0.088,0.459,0.205,0.334,0.162,0.311,0.154,clarification,medium,neutral,neutral,medium,medium,low,low,False,low,normal,False,high
What's the expected delivery time for express delivery?,0.117,0.084,0.357,0.909,0.203,0.404,0.214,inquiry,low,neutral,neutral,low,high,low,low,False,medium,slow,False,low
I demand to speak with someone who can actually help me.,0.795,0.707,0.45,0.082,0.776,0.131,0.059,escalation_request,high,sad,calm,high,low,high,high,True,medium,fast,False,low
I need to speak to a supervisor immediately.,0.974,0.905,0.256,0.174,0.744,0.268,0.16,escalation_request,high,sad,calm,high,low,high,high,True,low,fast,True,low
Can you walk me through the process one more time?,0.128,0.109,0.307,0.517,0.29,0.403,0.142,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
Kudos to your team for going above and beyond!,0.083,0.098,0.105,0.752,0.027,0.004,0.974,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
I've had enough of the runaround. Escalate this immediately.,0.559,0.831,0.31,0.111,0.826,0.249,0.041,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
I have a question about my recent bill. Can someone explain it?,0.002,0.027,0.36,0.937,0.279,0.54,0.3,inquiry,high,neutral,neutral,low,low,low,low,False,medium,fast,False,low
I'd like to know more about your enterprise service. Can you help?,0.035,0.183,0.168,0.692,0.256,0.319,0.15,inquiry,high,neutral,neutral,low,low,low,low,False,low,fast,False,low
Your support team is fantastic. Keep up the great work!,0.074,0.008,0.121,0.774,0.039,0.058,0.807,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
"Sorry, I'm not sure what you mean by 'webhook'. Can you explain?",0.216,0.219,0.427,0.49,0.299,0.675,0.32,clarification,low,reassuring,neutral,low,high,low,low,False,medium,slow,False,high
What are the available options for billing?,0.043,0.006,0.105,0.798,0.115,0.499,0.279,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
I've spent 6 hours trying to resolve this issue with no success.,0.601,0.863,0.143,0.023,0.864,0.149,0.138,complaint,low,empathetic,calm,high,high,high,medium,True,low,slow,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.661,0.548,0.428,0.24,0.847,0.082,0.118,complaint,medium,neutral,calm,high,medium,high,medium,True,medium,normal,False,low
I'm so grateful for your help. You made my day!,0.036,0.009,0.183,0.741,0.095,0.089,0.756,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
Your representatives have been unhelpful. Get me a manager now.,0.771,0.949,0.493,0.161,0.829,0.208,0.17,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.55,0.694,0.188,0.296,0.972,0.012,0.141,complaint,low,empathetic,calm,high,high,high,medium,True,low,slow,False,low
How do I update my account information?,0.185,0.036,0.227,0.958,0.11,0.579,0.189,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
I want to file a formal complaint and speak to a supervisor.,0.962,0.988,0.578,0.095,0.931,0.253,0.064,escalation_request,low,empathetic,calm,high,high,high,high,True,high,slow,True,low
Why hasn't anyone fixed my problem yet? This is the 6th time I'm contacting you!,0.897,0.422,0.339,0.069,0.56,0.023,0.139,complaint,medium,sad,calm,high,medium,high,high,True,medium,normal,True,low
I want to file a formal complaint and speak to a supervisor.,0.67,0.89,0.226,0.063,0.77,0.237,0.064,escalation_request,high,empathetic,calm,high,low,high,high,True,low,fast,False,low
I've had enough of the runaround. Escalate this immediately.,0.813,0.954,0.446,0.047,0.512,0.261,0.004,escalation_request,high,empathetic,calm,high,low,high,high,True,medium,fast,True,low
I want this escalated to your highest level. This is unacceptable.,0.937,0.812,0.576,0.16,0.999,0.105,0.153,escalation_request,medium,empathetic,calm,high,medium,high,high,True,high,normal,True,low
I'm not tech-savvy. Could you explain this in simpler terms?,0.121,0.292,0.451,0.649,0.395,0.607,0.225,clarification,high,reassuring,neutral,low,low,low,low,False,medium,fast,False,high
I have a question about my recent bill. Can someone explain it?,0.084,0.148,0.096,0.555,0.206,0.415,0.189,inquiry,medium,neutral,neutral,low,medium,low,low,False,low,normal,False,low
I can't believe how poorly I've been treated. This is ridiculous!,0.54,0.425,0.107,0.296,0.714,0.115,0.136,complaint,high,calm,neutral,medium,low,high,medium,True,low,fast,False,low
Is it possible to change my subscription to the professional plan?,0.044,0.19,0.315,0.545,0.225,0.652,0.383,inquiry,medium,neutral,neutral,low,medium,low,low,False,medium,normal,False,low
Your team resolved my issue so quickly. Amazing!,0.047,0.061,0.033,0.997,0.023,0.189,0.895,praise,low,friendly,friendly,low,high,low,low,False,low,slow,False,low
What's the expected delivery time for express delivery?,0.122,0.103,0.092,0.588,0.166,0.375,0.334,inquiry,low,neutral,neutral,low,high,low,low,False,low,slow,False,low
I'm interested in learning about your pricing plans.,0.07,0.012,0.388,0.942,0.378,0.698,0.152,inquiry,high,neutral,neutral,low,low,low,low,False,medium,fast,False,low
The quality of your service has gone downhill. Very frustrated customer here.,0.638,0.855,0.378,0.046,0.908,0.067,0.045,complaint,medium,empathetic,calm,high,medium,high,medium,True,medium,normal,False,low
I'm not tech-savvy. Could you explain this in simpler terms?,0.161,0.337,0.432,0.337,0.363,0.406,0.139,clarification,high,calm,neutral,medium,low,low,low,False,medium,fast,False,high
Your representatives have been unhelpful. Get me a manager now.,0.944,0.982,0.545,0.162,0.828,0.165,0.017,escalation_request,low,sad,calm,high,high,high,high,True,high,slow,True,low
I need to speak to a supervisor immediately.,0.704,0.749,0.304,0.145,0.748,0.024,0.044,escalation_request,high,sad,calm,high,low,high,high,True,medium,fast,False,low
"If this isn't resolved today, I'm taking this to consumer protection.",0.842,0.63,0.54,0.099,0.74,0.178,0.165,escalation_request,low,sad,calm,high,high,high,high,True,high,slow,True,low
I want to file a formal complaint and speak to a supervisor.,0.674,0.871,0.426,0.053,0.939,0.239,0.132,escalation_request,medium,empathetic,calm,high,medium,high,high,True,medium,normal,False,low
I appreciate the prompt response. You guys are great!,0.085,0.087,0.142,0.951,0.07,0.136,0.886,praise,high,friendly,friendly,low,low,low,low,False,low,fast,False,low
